	importance
PF_ompK36 p.N304E	0.0008115876640957813
RGI_armA	0.0008014276850409176
RGI_KPC-3	0.000713175592548609
PF_ompK36 p.D223G	0.0007002277988102487
PF_ompK36 p.N218H	0.0007001997737709596
RGI_floR	0.0006687125555789818
PF_acrR p.P161R	0.0005962835935815807
RGI_arr-3	0.0005791455720852724
PF_ompK36 p.T222L	0.0005142016175326266
PF_ompK36 p.G189T	0.000509591864720165
RES_blaSHV-199	0.0004987173010569113
RES_dfrA27	0.0004986466347463702
RES_blaSHV-145	0.00048126954598831856
PF_ompK36 p.F207Y	0.000464458750754589
RES_blaSHV-98	0.00044513305247301547
RES_blaSHV-89	0.00043127130546694324
RES_blaSHV-79	0.0004185551902896618
PF_ompK36 p.D224E	0.0004099003281157826
PF_ompK36 p.Q227N	0.00039492428316996984
PF_ompK36 p.F207W	0.0003769180098910864
RGI_SHV-27	0.0003494528012801055
PF_ompK36 p.L229V	0.00034246707639029806
RES_blaSHV-27	0.00034021844403250677
PF_ompK36 p.A93S	0.0003164036366754229
RES_blaSHV-56	0.0002837685408122916
RES_blaSHV-78	0.0002738089933095532
RES_blaSHV-194	0.0002635834597278846
PF_ompK36 p.F198Y	0.0002580803560458749
RES_blaSHV-179	0.00025738322693346933
PF_ompK36 p.T86V	0.0002239061111233761
RGI_dfrA1	0.0002125784199233439
PF_ompK36 p.L191Q	0.00020288967827245314
RGI_dfrA27	0.00019291847988786782
PF_ompK36 p.D91K	0.00017861551696279202
RGI_OXA-9	0.00014926439103340577
PF_ompK36 p.L228V	7.673778479163418e-05
PF_ompK36 p.H235D	3.897543848855416e-05
RES_msr(E)	3.7845724800251854e-05
PF_ompK36 p.S89T	1.9164665202758848e-07
RES_blaSHV-81	0.0
