Modelo	accuracy_mean	accuracy_std	f1_mean	f1_std	roc_auc_mean	roc_auc_std	precision_mean	precision_std	recall_mean	recall_std
Random Forest	0.7729968546916496	0.015688400548892995	0.686870876592843	0.01813045454866843	0.8074641798898916	0.01277088205121332	0.7554767313361234	0.029269333024424547	0.6299431818181818	0.012995841331306377
Gradient Boosting	0.7789258221248577	0.012657239116182294	0.6633719105147471	0.02261592460417854	0.8309655484931824	0.008124944714329889	0.8318977704262535	0.02694030626649133	0.552298197492163	0.027680056078618807
Logistic Regression	0.7539561125457416	0.013659191157167941	0.6865274637351095	0.018329210670928853	0.8178225745771701	0.005061211120942078	0.6909026929759853	0.018293310729285264	0.6825489811912225	0.024201611321588018
SVM	0.769040742145908	0.00631434913399055	0.6817971034586762	0.00931949258429426	0.8143277740856714	0.006742384878581865	0.7481836809738219	0.016139916989387017	0.6268103448275862	0.018527388344468723
