gen	freq_resistant	freq_susceptible	odds_ratio	p_fisher	p_chi2	p_adj_fdr	significativo
RGI_vanG	0.3018159048215404	0.3579893747445852	0.7752544177570285	0.00023345781375990366	0.0002488879771124639	0.0004101875606248774	True
RES_blaSHV-187	0.010018785222291797	0.025745811197384554	0.3829603525998213	0.000282483839124485	0.0006347484547525249	0.0004917311273648442	True
RGI_emrR	0.29805886036318097	0.3510420923579894	0.7849801493137156	0.00048326175531578086	0.0005239236268545238	0.0008335156880675854	True
RGI_OmpA	0.28428303068252975	0.33551287290559867	0.7866598891947276	0.0006094295328921492	0.0006915342737552175	0.0010415704743974915	True
RGI_Klebsiella pneumoniae KpnG	0.2986850344395742	0.35022476501838984	0.7901629438239707	0.0007040337151152672	0.0007423606645680839	0.0011713127295723028	True
RGI_rsmA	0.2974326862867877	0.34859011033919085	0.7911157642210673	0.0006982236521709724	0.0008022816822735748	0.0011713127295723028	True
RGI_Escherichia coli mdfA	0.29805886036318097	0.34940743767879034	0.7906391014705959	0.0007004478932612686	0.0007717775303487081	0.0011713127295723028	True
RGI_oqxA	0.2936756418284283	0.34327748263179403	0.7954270094562648	0.00096797263275886	0.0011096299023499016	0.0015963057452514531	True
RGI_Klebsiella pneumoniae KpnH	0.29931120851596743	0.34859011033919085	0.7982466341263081	0.0011447308625033186	0.0012561928355944248	0.0018713861056575993	True
PF_acrR p.G164A	0.2867877269881027	0.3346955455659992	0.7993044902614701	0.0014499732128511736	0.0015279887442014	0.0023499565863450054	True
RGI_oqxB	0.2949279899812148	0.3420514916223948	0.8046053846202817	0.0017546889752450905	0.0019542172040505163	0.002819500233727154	True
RES_OqxB	0.2974326862867877	0.34491213731099307	0.8040662408867036	0.0017893855188728489	0.0018458008262147475	0.0028341066552324493	True
RES_OqxA	0.2974326862867877	0.3445034736411933	0.805522252036801	0.0017939292126205398	0.0020185486936981807	0.0028341066552324493	True
PF_ompK37 p.I128M	0.3112085159674389	0.35839803841438495	0.8088421270861408	0.0019980737254947584	0.0021894214637883974	0.0031303155032751215	True
RGI_acrB	0.30745147150907953	0.3543114017163874	0.8090294941506014	0.002169870583306587	0.002285640353519108	0.0033713691707573422	True
PF_ompK37 p.I70M	0.3112085159674389	0.35758071107478545	0.8117236363636363	0.0024923903914710567	0.0026066509782693933	0.003840732734398022	True
PF_ompK36 p.L59V	0.284909204758923	0.32856559051900286	0.8141919561561719	0.003518866023024829	0.0037778591002542946	0.005361102455954019	True
PF_ompK36 p.N49S	0.2855353788353162	0.32938291785860235	0.8136783066527773	0.0035360463007356293	0.0036482233622908864	0.005361102455954019	True
RES_blaSHV-172	0.0068879148403256105	0.0171638741315897	0.39715066354410616	0.004451075370658678	0.007645050348987593	0.006694417357470651	True
RGI_Klebsiella pneumoniae KpnF	0.30619912335629307	0.34859011033919085	0.8247235283412547	0.005107445752656521	0.005703295685038855	0.007620633345233539	True
RGI_Klebsiella pneumoniae KpnE	0.3055729492798998	0.34777278299959136	0.8252615339297427	0.005624950384384398	0.005899731461527185	0.00832669820680525	True
RES_fosA6	0.2366938008766437	0.2006538618716796	1.235308564831445	0.006880463427026809	0.007179114935688847	0.010105680658445625	True
RGI_Salmonella isangi gyrA conferring resistance to fluoroquinolones	0.09329993738259236	0.06988148753575807	1.3696003360149915	0.007348152050336808	0.008358281829376845	0.010708934771033487	True
RGI_sul2	0.13212273011897308	0.10420923579893747	1.3086382027558499	0.007538979736404284	0.007649360379852696	0.010902524541876964	True
RGI_CTX-M-15	0.11145898559799625	0.14017163874131588	0.7694656237608302	0.008231252352579405	0.008890724514720975	0.01181278963576281	True
RGI_Escherichia coli UhpT with mutation conferring resistance to fosfomycin	0.2974326862867877	0.3371475275847977	0.8323340355425917	0.008846760927751777	0.009081566510264242	0.012599932230434348	True
RES_sul2	0.1327489041953663	0.10543522680833674	1.298709876024963	0.009016103675911751	0.009346856810152323	0.012744567602040669	True
RES_blaCTX-M-15	0.11396368190356919	0.14221495709031468	0.7757970837902604	0.01000838973504292	0.010626758006838998	0.014041621419313949	True
RGI_floR	0.020037570444583593	0.01021659174499387	1.980932907348243	0.013347129470362694	0.014152340620178219	0.01858711363280138	True
RGI_armA	0.016906700062617408	0.008173273395995096	2.0869108280254776	0.015492710725890159	0.017173265969730605	0.021260070193192336	True
RES_blaSHV-67	0.016906700062617408	0.008173273395995096	2.0869108280254776	0.015492710725890159	0.017173265969730605	0.021260070193192336	True
RGI_LptD	0.2968065122103945	0.3330608908868002	0.8452031969581916	0.0157114336650728	0.017125830103833863	0.021403982094447	True
RES_FloR	0.020037570444583593	0.010625255414793625	1.9039567461292701	0.020603664005601895	0.020040404047958902	0.027866826137073065	True
RES_blaSHV-98	0.019411396368190358	0.03146710257458112	0.6092949196397472	0.021505569739396244	0.026099495626742724	0.028878907935760673	True
RGI_dfrA1	0.005635566687539136	0.013077237433592154	0.42771961586901763	0.023721200934802907	0.031663147099254045	0.031628267913070544	True
RGI_Shigella flexneri acrA	0.29117094552285533	0.3248876174908051	0.8535902393492899	0.024011653012301376	0.025857172147676723	0.03179007581910323	True
RES_blaSHV-26	0.023168440826549782	0.03555373927257867	0.6433834364868848	0.025296348201132753	0.032362533631356896	0.03325673749519551	True
RES_blaSHV-145	0.019411396368190358	0.031058438904781365	0.617572427236674	0.02708899605752197	0.031109976965523076	0.03441034634333872	True
RES_blaSHV-199	0.019411396368190358	0.031058438904781365	0.617572427236674	0.02708899605752197	0.031109976965523076	0.03441034634333872	True
RES_blaSHV-194	0.019411396368190358	0.031058438904781365	0.617572427236674	0.02708899605752197	0.031109976965523076	0.03441034634333872	True
RES_blaSHV-179	0.019411396368190358	0.031058438904781365	0.617572427236674	0.02708899605752197	0.031109976965523076	0.03441034634333872	True
RES_blaSHV-78	0.019411396368190358	0.031058438904781365	0.617572427236674	0.02708899605752197	0.031109976965523076	0.03441034634333872	True
RGI_mdtB	0.2736380713838447	0.30608908868001633	0.8540421711707564	0.02847023222255291	0.029222899308940016	0.03573324951756011	True
RES_blaSHV-11	0.026299311208515967	0.015937883122190438	1.6676725204056393	0.028510571423585193	0.028947525633433446	0.03573324951756011	True
RGI_baeR	0.3030682529743269	0.33592153657539847	0.8596699479497992	0.030229033285477297	0.0315815662461311	0.03747384132896289	True
RES_blaTEM-1B	0.08515967438948027	0.10625255414793625	0.7830042647291108	0.030297999372352974	0.03139450020114276	0.03747384132896289	True
RGI_Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics	0.29931120851596743	0.33142623620760114	0.8617082585406867	0.032410088574650275	0.035043012198947836	0.03982416112440688	True
RES_blaSHV-56	0.010018785222291797	0.018389865140988965	0.5401925644809895	0.034648241201015846	0.04517919444473243	0.042297852894746614	True
RGI_mdtC	0.3024420788979336	0.33428688189619943	0.863435141980484	0.03569199311759167	0.03709478362854478	0.043290933587788606	True
RGI_MdtQ	0.3068252974326863	0.33837351859419695	0.8654958127681116	0.036409936720385186	0.03958921493070429	0.043878641688669326	True
