gen	freq_resistant	freq_susceptible	odds_ratio	p_fisher	p_chi2	p_adj_fdr	significativo
AAC(3)-IId	0.040075140889167186	0.0171638741315897	2.3905818034976547	1.2006835951081982e-05	1.3170394718923072e-05	2.6609744540235744e-05	True
CRP	0.28240450845335	0.34654679199019206	0.7420694211202212	1.9286678591418417e-05	2.2783145863018274e-05	4.161862222358711e-05	True
SHV-1	0.039448966812773954	0.07151614221495708	0.5331942633637549	2.0319054013526e-05	3.083144583067829e-05	4.272211356690082e-05	True
msbA	0.284909204758923	0.34736411932979155	0.7485680436798187	3.1369099871758606e-05	3.8152994248558934e-05	6.430665473710514e-05	True
Klebsiella pneumoniae OmpK37	0.2943018159048215	0.3559460563955864	0.7545916584574228	4.758812457870391e-05	5.4330921788289867e-05	9.517624915740782e-05	True
ArnT	0.28741390106449594	0.34572946465059257	0.763293198220095	0.00010129434123576212	0.00012146383393240628	0.00019776514241267844	True
PmrF	0.28804007514088914	0.3461381283203923	0.7642473461614743	0.00011652388751306377	0.0001296318841151607	0.00022220834362956347	True
vanG	0.3018159048215404	0.3579893747445852	0.7752544177570285	0.00023345781375990366	0.0002488879771124639	0.00043508047109800226	True
emrR	0.29805886036318097	0.3510420923579894	0.7849801493137156	0.00048326175531578086	0.0005239236268545238	0.0008806103096865339	True
OmpA	0.28428303068252975	0.33551287290559867	0.7866598891947276	0.0006094295328921492	0.0006915342737552175	0.0010863743847207875	True
Escherichia coli mdfA	0.29805886036318097	0.34940743767879034	0.7906391014705959	0.0007004478932612686	0.0007717775303487081	0.0011781788701928963	True
Klebsiella pneumoniae KpnG	0.2986850344395742	0.35022476501838984	0.7901629438239707	0.0007040337151152672	0.0007423606645680839	0.0011781788701928963	True
rsmA	0.2974326862867877	0.34859011033919085	0.7911157642210673	0.0006982236521709724	0.0008022816822735748	0.0011781788701928963	True
oqxA	0.2936756418284283	0.34327748263179403	0.7954270094562648	0.00096797263275886	0.0011096299023499016	0.0015874751177245303	True
Klebsiella pneumoniae KpnH	0.29931120851596743	0.34859011033919085	0.7982466341263081	0.0011447308625033186	0.0012561928355944248	0.0018405476612798457	True
